,condition_concept_id,chi2,p_value
680,31317,22.17907905712073,2.483654679831794e-06
56,4282316,22.16532806603952,2.5015075376491887e-06
1014,373503,22.080276582806746,2.6148264205584446e-06
905,4155034,21.92520860851363,2.8348545771210982e-06
234,441417,21.914800075001768,2.8502719851426225e-06
503,4288310,21.512349202610324,3.5155743012456367e-06
2060,4196636,21.410318606289117,3.707703990232214e-06
435,4200238,21.337163605592245,3.851912715123352e-06
1006,372887,21.315838561906386,3.895000243762886e-06
1449,439935,21.29263921800417,3.942424304802302e-06
820,139850,21.255103926148276,4.0203841728270195e-06
1731,201621,21.22800321327017,4.077631675838487e-06
130,44784217,20.718808421552776,5.319096420563439e-06
1817,4090207,20.689413927386976,5.401379674394099e-06
577,37110250,20.597447457632775,5.667162469403829e-06
276,440674,20.375525542840375,6.363850919933496e-06
1112,197672,20.316927789693978,6.561747951195921e-06
2050,437528,20.278203605318048,6.6959062305586145e-06
177,137820,20.243670471330468,6.817865744804039e-06
1659,4171912,19.714612520068222,8.991122793846196e-06
923,200485,19.51325589462443,9.990398823320607e-06
703,375827,19.364707583218483,1.0798434735373872e-05
451,376965,19.278115774847432,1.1299407267912596e-05
611,436676,19.27764420290742,1.1302198461348647e-05
1563,444457,18.961357222229378,1.3339286415764273e-05
581,442111,18.734868127628275,1.5021055563140883e-05
1114,432795,18.725742656290898,1.5093109750427999e-05
1244,139766,18.72332024815397,1.511229518273158e-05
617,140214,18.644346873411706,1.5751362101068146e-05
1307,435783,18.6046487776472,1.60827884974478e-05
257,4285898,18.23069414283186,1.9569947794210227e-05
125,762297,18.04272669278914,2.160022685660691e-05
981,77079,17.997346046502933,2.2121316171457017e-05
1264,4168212,17.97356237926386,2.2399440697606846e-05
1363,197675,17.965481265547353,2.2494738145419688e-05
60,196168,17.84335173172966,2.3985580350135666e-05
4,140673,17.74737500899842,2.52265330936896e-05
2238,4171394,17.693596816905284,2.594986648085321e-05
528,442104,17.48357712039991,2.898002695477028e-05
1615,4298028,17.47587235934063,2.9097713888610874e-05
233,135526,17.459785477123454,2.934498475145231e-05
3042,4044053,17.41367440931336,3.006552084925692e-05
226,4280726,17.412601722419957,3.0082492716925173e-05
274,137053,17.381813343921863,3.0573746964347506e-05
1811,4055361,17.357703140228722,3.096406798327714e-05
2075,40277917,17.08462008184685,3.575065291806613e-05
946,4115027,17.082687333353043,3.5787055046753276e-05
33,4223659,17.0747476326002,3.593698572784172e-05
1412,80767,17.023091634206274,3.692797772254665e-05
1479,40482301,17.022545500069448,3.693860043854446e-05
702,372892,16.913315426244225,3.912615789620739e-05
1690,4177944,16.897569718048324,3.945206216318302e-05
741,4224741,16.840864721193608,4.064851719149223e-05
1186,4025325,16.806928244242446,4.138194387834092e-05
4091,43531604,16.691292989534205,4.398240073170038e-05
269,4301699,16.58923750398991,4.641366350273901e-05
59,135777,16.58117436213128,4.661141626386599e-05
338,45766207,16.534025058351787,4.7784856426008767e-05
88,4228802,16.17524049495334,5.7743952763116645e-05
425,440029,16.14866905803384,5.8559704300154906e-05
462,43530652,16.07754954013621,6.080058095354665e-05
1026,4310821,16.073171042533748,6.094132654108036e-05
2263,380394,15.890538697057394,6.711338479104505e-05
355,436785,15.852629364080585,6.847133169316674e-05
2529,435642,15.811107231045412,6.999043040510657e-05
2353,137945,15.601902408655754,7.817589601277495e-05
1352,4173734,15.573823430032663,7.934550507951443e-05
54,374375,15.441288793438211,8.510833037312724e-05
241,256439,15.433844249151026,8.544424898882093e-05
1314,4052646,15.373496996137213,8.821699255440585e-05
3582,4129404,15.27131699916094,9.311983627768912e-05
535,4128329,15.174471551901085,9.801965170529312e-05
821,4002818,15.087709512660734,0.00010262931433401301
525,4311629,14.848356583093237,0.00011650954244980672
2395,4244078,14.830774972581596,0.00011760070377452923
2390,440072,14.773754129098513,0.0001212108568150221
693,4211231,14.759037308384883,0.00012216059926650497
1946,77734,14.44867895378114,0.00014403084452450384
1558,37310245,14.444873103179875,0.00014432218367680405
43,381290,14.398384113463141,0.00014792919439039727
1436,438252,14.304186069619508,0.00015551865501366844
756,375552,14.292792453610577,0.00015646282404778054
1416,4181965,14.262701524049515,0.00015898425566134483
0,72418,14.20253623556965,0.00016414911689190682
2151,132393,14.07946905348268,0.00017524627425721383
27,442588,14.0435558441458,0.00017862487121186836
168,762289,14.034695501468619,0.0001794684653622776
2314,40480002,13.97545261001933,0.00018521305228271458
1447,376229,13.769206710689577,0.00020669658678623402
1600,45766654,13.764068099774821,0.00020726276698025093
26,440374,13.73423142106709,0.00021058123291171888
2762,434626,13.713602011338912,0.00021290691001412285
2731,433031,13.660819469981563,0.0002189759148528159
1187,4177651,13.508433450471612,0.0002374937155036858
326,4214376,13.475755271928316,0.00024166589307027256
796,200845,13.388034797385927,0.00025323457866797
2567,200687,13.359836521453712,0.0002570707144719605
725,4111409,13.25443801351491,0.0002719352973268662
100,4272240,13.192306029789764,0.0002811007903610441
1695,46273403,13.071182568027941,0.00029987374878505217
530,4232697,13.050250535088983,0.00030324384057415365
392,46271022,13.02767662721391,0.0003069210893415394
1680,4226991,12.865475777185397,0.0003346997915295439
31,376415,12.647884522266994,0.00037599089242020006
1255,317248,12.641480847934316,0.000377281004958054
699,134460,12.59237099884502,0.00038732448176363667
2186,4111709,12.545865434775317,0.00039708391868577194
2343,434633,12.404108653859346,0.00042839024219604475
210,77670,12.316986426232415,0.00044885478067648564
171,4048489,12.304917074052597,0.00045176656889396285
102,36715917,12.29694553284395,0.00045370018569519037
2789,4275889,12.249906551334073,0.000465281458955165
849,433968,12.218246857441876,0.00047324379572822066
994,37206607,12.17932486945469,0.00048322130633375403
2626,438064,12.160258521644653,0.0004881861006741123
2710,4043738,12.136314022051911,0.0004944941422875843
788,46270491,12.127991021019621,0.0004967060041892114
1374,4299417,12.103270293239817,0.0005033346652527279
734,4297667,12.100008346451109,0.0005042159724226124
1591,43021974,12.066930320390084,0.0005132413976520948
4260,380055,12.033950106896725,0.000522402506992365
1491,375800,12.032858548496227,0.0005227085216610843
752,433440,11.876497419734573,0.0005684674666915503
5913,4313149,11.862350612587548,0.0005728019973300642
83,439082,11.845169429932962,0.0005781111517968191
1345,440360,11.772144153610828,0.0006012368318101038
220,4168796,11.635846426797206,0.0006469289784797838
2427,195847,11.60575878814302,0.0006574791562034435
1270,4117116,11.60275713411324,0.0006585411682957852
285,437663,11.595136902133635,0.0006612450640696858
25,434613,11.51538490101304,0.0006902253825425294
653,444444,11.511221402009339,0.000691773082038318
848,261325,11.408084149152598,0.0007312520264418631
349,377889,11.372373640400372,0.0007454455431903275
1543,192854,11.355718020684503,0.000752160367913575
1008,4275359,11.313457180998011,0.0007694736974385966
574,4112752,11.160199835948383,0.0008357092046131503
1866,432899,11.12508728726148,0.0008516786821605483
2510,35622958,11.12508728726148,0.0008516786821605483
440,436073,11.108016164364406,0.000859553856185323
465,4106357,11.089525463164332,0.0008681669743967333
7088,199066,11.079046024965919,0.0008730870609338544
3195,372897,11.07142824160604,0.0008766812862318355
3573,44782778,11.066602955128367,0.0008789656885823059
2169,443200,11.007549526278616,0.0009074153127430458
1775,30753,10.962510354166504,0.000929737768698524
327,80502,10.946582130362275,0.0009377643777810732
212,4179823,10.872226111117568,0.0009761712467830612
229,260427,10.870691236944186,0.0009769805880620354
29,36684319,10.798765386065156,0.0010156780982736977
2280,4008710,10.768714133751311,0.0010323020226246764
153,433577,10.765795415355871,0.0010339312066617592
851,73560,10.751622803781734,0.0010418791903955488
2721,435508,10.687448624637836,0.001078648661999024
7,319016,10.673915486784637,0.0010865687397228652
453,4216644,10.641373890625411,0.0011058549090424712
1703,73571,10.610564436943232,0.0011244336003051031
324,40483107,10.501372559081926,0.0011928590296029112
1720,192606,10.501352036212488,0.0011928722786144386
1548,4158911,10.459777213110288,0.0012200199115818854
2394,4171569,10.365729793918838,0.0012837614095550353
309,4022073,10.352490811745321,0.0012930009885245733
92,432895,10.335191186860822,0.0013051760441409048
527,197925,10.234281269101803,0.001378543181266991
2409,376337,10.226041526759367,0.0013847152607258163
602,439002,10.1831461634183,0.0014173014331668639
3389,441838,10.1831461634183,0.0014173014331668639
310,4146581,10.17485803229545,0.0014236865998184655
1795,4151527,10.144360099266672,0.0014474339990994012
3279,4002140,10.144360099266672,0.0014474339990994012
2222,36684711,10.04669795282231,0.0015262126395502766
1739,136834,10.035386897292007,0.0015356128992448103
692,4306267,10.015480512784427,0.0015522991130887229
1039,255348,9.971260079394982,0.001590026364410827
1191,4146209,9.95959493213823,0.001600132566868777
3062,373995,9.959060962592677,0.0016005967303336678
1157,434170,9.936144107560233,0.0016206467291882368
558,443611,9.881084961524465,0.0016698644687281505
433,4096682,9.824607896407162,0.0017219240554411186
275,440530,9.805674007325646,0.0017397426255252107
2603,260134,9.775879501468772,0.0017681612126031617
348,378735,9.709618029491109,0.0018330611005781103
1437,4053604,9.696614120839957,0.001846078505826258
