,condition_concept_id,n_people
656,36717169,4621
657,318736,4618
658,4344500,4612
659,437176,4603
660,4191650,4594
661,4163710,4593
662,4260535,4545
663,443919,4476
664,4052646,4457
665,4168222,4456
666,4043378,4427
667,443535,4424
668,440360,4420
669,137275,4419
670,4265485,4408
671,4002956,4405
672,201965,4388
673,4211231,4382
674,4085898,4378
675,432881,4369
676,4084966,4368
677,4296653,4360
678,381290,4346
679,81151,4339
680,45763549,4336
681,43531681,4327
682,4042836,4318
683,43530645,4311
684,4023310,4308
685,4188331,4294
686,443412,4283
687,4033839,4268
688,440940,4264
689,381537,4233
690,136773,4231
691,45771045,4218
692,4248429,4205
693,4234997,4201
694,44782715,4187
695,436075,4166
696,435224,4165
697,198520,4164
698,40305987,4161
699,4032878,4138
700,43020424,4132
701,4311499,4116
702,73923,4113
703,45757320,4107
704,4291454,4094
705,443733,4086
706,4054067,4065
707,4280571,4038
708,31610,4037
709,4108356,4032
710,74125,4020
711,44782747,4018
712,438252,4017
713,374384,4017
714,4146209,4016
715,378424,4010
716,315296,4004
717,4152592,4000
718,4197819,3995
719,194913,3981
720,4203555,3979
721,46272242,3975
722,432312,3971
723,4077895,3967
724,4302739,3963
725,45769461,3962
726,4052509,3958
727,4307254,3950
728,197304,3949
729,4138617,3949
730,441051,3948
731,134057,3942
732,36717682,3940
733,373499,3930
734,372328,3911
735,380111,3905
736,435783,3893
737,312940,3890
738,4130023,3889
739,4177206,3875
740,759860,3866
741,4248728,3860
742,438120,3858
743,81723,3855
744,432899,3844
745,4013596,3831
746,4232337,3822
747,4185471,3814
748,77965,3807
749,4127117,3805
750,140842,3803
751,759859,3788
752,4191597,3785
753,260427,3775
754,45768480,3768
755,195867,3762
756,4128914,3750
757,4059290,3749
758,4306923,3749
759,78605,3741
760,4120275,3735
761,434911,3731
762,255841,3728
763,443344,3724
764,40484908,3721
765,379031,3715
766,36716978,3714
767,136368,3713
768,194175,3701
769,435956,3701
770,375265,3690
771,443740,3675
772,199866,3666
773,196360,3666
774,4194160,3664
775,136057,3657
776,40493038,3653
777,4297668,3649
778,4289526,3638
779,4306292,3637
780,141663,3633
781,195906,3623
782,4168701,3611
783,40480160,3603
784,4298028,3603
785,444459,3590
786,23325,3584
787,380394,3578
788,45772786,3577
789,201916,3576
790,4133610,3575
791,46273539,3572
792,4195677,3560
793,374044,3532
794,4055700,3531
795,320136,3526
796,316437,3515
797,40481919,3513
798,435082,3499
799,4083820,3498
800,4168217,3495
801,4256761,3495
802,133729,3491
803,199856,3491
804,4201388,3486
805,132412,3476
806,4242103,3473
807,4148906,3468
808,4200967,3458
809,4012231,3451
810,441534,3444
811,318443,3435
812,438730,3416
813,45757591,3416
814,4031019,3408
815,195079,3405
816,40481385,3403
817,381292,3400
818,4070750,3390
819,4207539,3350
820,374025,3344
821,197500,3343
822,140168,3340
823,4224968,3340
824,4057826,3338
825,380731,3331
826,4219836,3330
827,4160328,3328
828,255348,3324
829,40482727,3315
830,4119786,3314
831,443611,3304
832,4065364,3297
833,42537304,3295
834,4100247,3283
835,377575,3267
836,138102,3247
837,192963,3243
838,317248,3241
839,4117713,3240
840,318448,3237
841,77630,3229
842,135287,3228
843,440853,3221
844,442108,3221
845,436681,3220
846,4081648,3219
847,37396146,3215
848,4002359,3209
849,4048512,3209
850,439928,3204
851,319826,3194
852,439392,3189
853,435940,3177
854,137820,3175
855,4053599,3173
856,4031763,3170
857,256449,3165
858,45763828,3155
859,433128,3152
860,4264617,3149
861,4108814,3147
862,442287,3141
863,4064161,3137
864,4130851,3123
865,438064,3123
866,4192174,3113
867,200528,3107
868,4166125,3093
869,435829,3068
870,139750,3067
871,443744,3047
872,376229,3046
873,436658,3046
874,199074,3035
875,4098302,3035
876,440083,3030
877,4035611,3029
878,4328079,3025
879,133726,3020
880,45768964,3018
881,440129,3017
882,4027663,3017
883,4263360,3006
884,4153359,3004
885,201254,2983
886,437992,2982
887,37312520,2975
888,444131,2972
889,4058155,2971
890,442012,2970
891,73090,2970
892,79917,2968
893,439846,2960
894,4216397,2950
895,4305500,2944
896,443410,2943
897,381444,2935
898,4100662,2933
899,44783028,2926
900,4302537,2922
901,40482662,2921
902,4297667,2918
903,432869,2897
904,4246581,2882
905,198678,2876
906,443617,2869
907,26662,2861
908,45767037,2849
909,198809,2823
910,261687,2815
911,4004352,2807
912,36714994,2805
913,4244662,2802
914,4200056,2795
915,4008576,2795
916,4099651,2794
917,44782447,2790
918,4245975,2789
919,78097,2783
920,4058219,2777
921,4058370,2775
922,4286497,2774
923,259153,2766
924,442104,2756
925,4303233,2754
926,376690,2747
927,44782718,2746
928,4031106,2744
929,40484102,2739
930,4250169,2731
931,4025215,2725
932,73819,2718
933,4025677,2712
934,433405,2707
935,4043738,2702
936,4328217,2699
937,37016130,2688
938,4198381,2679
939,46273390,2679
940,438749,2672
941,4332246,2670
942,45757650,2667
943,4188155,2664
944,4137468,2662
945,4094822,2657
946,377574,2649
947,4008710,2641
948,4328879,2633
949,43530687,2629
950,36714686,2624
951,436676,2621
952,439154,2614
953,4263748,2613
954,46270491,2610
955,201603,2608
956,4169954,2601
957,433516,2597
958,45757559,2597
959,4174994,2597
960,378161,2595
961,433813,2588
962,436948,2586
963,4197476,2585
964,441594,2582
965,4040820,2579
966,36715916,2574
967,438383,2566
968,4266029,2561
969,4077081,2560
970,40481816,2554
971,4226991,2540
972,4227449,2540
973,434490,2537
974,201621,2531
975,46269907,2526
976,317305,2526
977,197917,2520
978,4168681,2514
979,40483262,2508
980,134668,2508
981,4013160,2503
982,380097,2499
983,137977,2498
984,439082,2497
985,141095,2487
986,4050692,2485
987,195321,2483
988,140273,2483
989,435459,2481
990,4304798,2479
