,condition_concept_id,chi2,p_value,p_adj
346,45766207,165.1539721468635,8.465940220988417e-38,7.838166375776872e-36
237,4079750,165.1491128851334,8.486657721213042e-38,7.838166375776872e-36
579,4336254,163.22184645957094,2.237464264033017e-37,2.044272457149306e-35
194,321052,162.93168462650647,2.589081484949671e-37,2.3403644018741867e-35
460,316139,161.82462174783663,4.518602566152806e-37,4.0415332636421464e-35
476,375415,160.17704014508385,1.0350642940089077e-36,9.161397193951759e-35
31,435220,158.2553821426304,2.7216922307507786e-36,2.3841462767720994e-34
517,436659,157.87740369530735,3.291765397387592e-36,2.854094957306364e-34
90,198400,157.7141472369969,3.573563188221121e-36,3.067127920233825e-34
452,433577,152.59950196588315,4.6859957397349643e-35,3.9816905800527995e-33
39,4272240,151.87496702569436,6.747656420718718e-35,5.67671649572742e-33
248,436070,151.83957760357163,6.868906987974614e-35,5.722068889884343e-33
231,4033837,151.70013726286516,7.368238603565461e-35,6.0784391664558955e-33
727,377091,149.2564417897994,2.520498650169813e-34,2.0592958683166252e-32
155,137053,149.11761832167815,2.7029066245214743e-34,2.1872950084341874e-32
586,437833,148.18835484535316,4.314771543869089e-34,3.458737151722231e-32
193,319835,147.9619128406643,4.835671510040583e-34,3.840065497272414e-32
970,45768812,147.52864340522623,6.01407037489761e-34,4.731625553287499e-32
227,379010,145.28553170906963,1.8601032043690505e-33,1.4500272410572314e-31
349,31967,143.79544368874227,3.9383490837184035e-33,3.042195651305025e-31
598,435262,142.6108507968719,7.150185507486271e-33,5.4734347979379135e-31
1182,197672,141.87119488160084,1.0376368265448518e-32,7.872142959956791e-31
175,200219,141.6519586692442,1.1587324188435521e-32,8.713052533551914e-31
893,37110250,141.02618323887287,1.587876915635091e-32,1.1835254519431025e-30
150,135930,140.02285809684776,2.631571708232148e-32,1.9443882438998748e-30
972,4254485,138.2421572246116,6.451045729827698e-32,4.725390997098789e-30
1163,376966,136.59439116107993,1.4791261152942103e-31,1.0741995386029833e-29
981,4169095,136.4287437081702,1.607810496359041e-31,1.1577598125053195e-29
463,4228361,135.21195165372617,2.967396978265488e-31,2.1188211869178027e-29
434,44784217,135.11112988750833,3.121968261212421e-31,2.210613692960162e-29
342,437246,133.6768213032457,6.42937669245831e-31,4.514910227753575e-29
790,200845,132.7549994510896,1.0228708431275978e-30,7.124043896766555e-29
477,134736,132.1410834503539,1.3935508519198472e-30,9.626830559969871e-29
805,319041,132.0513808069697,1.45796402649578e-30,9.99058091381826e-29
246,376400,131.48563546063866,1.9387219437490578e-30,1.3178656284828595e-28
736,373503,128.9932735482101,6.804859500799598e-30,4.5889596173249354e-28
391,4282316,128.71731271624762,7.81990348630835e-30,5.231946450642681e-28
50,438720,128.5503595640322,8.506137972986233e-30,5.646613621598752e-28
345,4261842,127.83990789324139,1.216719264285374e-29,8.014312859405289e-28
1371,374919,125.0330972543326,5.0052859136805774e-29,3.271531877580297e-27
72,197320,123.38821941718143,1.1466758800034814e-28,7.437637368236322e-27
1193,432795,123.3665176304074,1.1592864524406648e-28,7.462467413930551e-27
34,762297,121.41621354225384,3.098131560823795e-28,1.9793100655879537e-26
1082,441259,120.38798995188672,5.202273420959732e-28,3.2987848699921526e-26
831,315078,120.34002628965715,5.329586314882211e-28,3.354481105004011e-26
373,320536,119.2615631366986,9.179145417993726e-28,5.734941074756816e-26
103,762289,117.52863550161678,2.1990218742055475e-27,1.3638750996441267e-25
68,132412,117.51323177881103,2.2161666867856882e-27,1.3645484302621734e-25
813,37017432,116.77632445462291,3.2133898279815342e-27,1.9643290193064098e-25
97,373478,116.15662084858906,4.392044376097161e-27,2.6656572188355414e-25
138,36713918,115.12286745208216,7.396945095863781e-27,4.457577480819471e-25
406,135618,114.96174880000515,8.023020710901657e-27,4.800817392995168e-25
320,4236484,114.16740930038546,1.1975866504465803e-26,7.116009628562652e-25
765,440704,114.1467724591943,1.210115364078194e-26,7.140521005953066e-25
1294,43531003,114.07461761856453,1.2549603345489218e-26,7.354067560456681e-25
1462,133810,113.6595570044698,1.5471679806209372e-26,9.004305706394591e-25
362,436785,112.14859859489664,3.3150847442537005e-26,1.9162091885662377e-24
1002,42537748,111.9279060094322,3.705423413759593e-26,2.1273636991023826e-24
7,197684,111.51744753639218,4.5577643191554296e-26,2.599149222809643e-24
1620,37206607,110.9427804765267,6.090343622744348e-26,3.432797702941546e-24
315,255848,110.93950416836813,6.100417243076067e-26,3.432797702941546e-24
2,45768910,110.4700124197975,7.730602707743013e-26,4.321508632085025e-24
500,40483287,110.26402636640277,8.57710849328603e-26,4.763378488068719e-24
559,321596,108.39116100109607,2.2063951942793344e-25,1.2173857120643835e-23
1553,193782,108.3765555952103,2.222713932765676e-25,1.2184774378522546e-23
1146,4101747,108.07314962810796,2.5903911359863022e-25,1.4109329155433085e-23
923,42538119,104.72810747442124,1.4009950183645444e-24,7.582327815951295e-23
20,318736,103.79583728340391,2.242758823442271e-24,1.206121628024619e-22
