condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
43531003,Essential tremor,810.6149846039988,2.6557748262835175e-178,2.442372742897196e-176,,,
321596,,784.2181836161996,1.4566482539887364e-172,1.3278498820571008e-170,,,
4282316,,781.1223824813983,6.862085097057023e-172,6.2009381155318765e-170,,,
43531578,,763.9019023812594,3.807712356369697e-168,3.411185069602922e-166,,,
441417,,747.6776781,1.2833910179415123e-164,1.139914483628051e-162,,,
443769,,745.1682080467522,4.508287551642865e-164,3.970349511582428e-162,,,
440704,,744.5896382803561,6.023024811253768e-164,5.25977091080245e-162,,,
40482301,,725.8230881490836,7.251825764411277e-160,6.280081111980166e-158,,,
436665,,724.6747548566477,1.288687597210994e-159,1.1067802901005496e-157,,,
4035439,,708.9586966895552,3.369723169140148e-156,2.870341243746264e-154,,,
442165,,695.8223536861387,2.4219471323639995e-153,2.0462499674411938e-151,,,
45766207,,693.8914559680593,6.368768527842908e-153,5.337438914624476e-151,,,
4346975,,682.9603954303927,1.517550547563409e-150,1.2616308232223159e-148,,,
434056,,679.5462377409974,8.386932934958776e-150,6.917222782546952e-148,,,
31967,,676.1265382179904,4.648082123580712e-149,3.8033755455315555e-147,,,
132797,,668.0863327654846,2.604787191298653e-147,2.114761600935594e-145,,,
200845,,665.5904754941498,9.089732292681727e-147,7.322519223685931e-145,,,
435220,,663.0050359699034,3.317529262573192e-146,2.651981853589278e-144,,,
4224741,,658.4941927,3.1754839866716146e-145,2.5190556938543067e-143,,,
440530,,626.7502944093138,2.5445172732792958e-138,2.0032290533271546e-136,,,
78232,,624.5869461396923,7.518287894621462e-138,5.874439684278664e-136,,,
73754,,605.0496316499141,1.3349701904949052e-133,1.0352992701211235e-131,,,
79061,,601.7918703110824,6.824234513597843e-133,5.253144078911762e-131,,,
200219,,600.2681645865046,1.4637642057700683e-132,1.118488060761952e-130,,,
434500,,597.1499770008834,6.977569205780321e-132,5.292766363975847e-130,,,
443524,,590.4598916718875,1.9901053193443005e-130,1.4986358317844908e-128,,,
27674,,586.4438730802455,1.487374725164226e-129,1.1119998664681034e-127,,,
254761,,582.1410605,1.283387980495807e-128,9.526405638080304e-127,,,
4213271,,576.5425312015418,2.119114432620937e-127,1.56183242438275e-125,,,
4331284,,574.9197294777597,4.776956507656275e-127,3.495924790673522e-125,,,
373764,,562.3252285213554,2.623043368831088e-124,1.906200467754732e-122,,,
4114624,,547.8611353625339,3.6752063005470793e-121,2.652273880228142e-119,,,
439007,,541.3152245567769,9.756831840147513e-120,6.992620447090549e-118,,,
4181965,,539.7116619022877,2.1785116356208137e-119,1.5506228025596915e-117,,,
4275889,,538.4589427558144,4.0802534374578504e-119,2.8844893688477538e-117,,,
4275359,,535.0678788,2.2305610705091646e-118,1.5662155841034622e-116,,,
4301699,,533.2200467,5.62877871703742e-118,3.9257898273458305e-116,,,
439696,,531.8405838660393,1.1233656170597778e-117,7.782676994990141e-116,,,
197684,,530.8672992611748,1.8292095530547012e-117,1.2588838195592353e-115,,,
374367,,524.5894517,4.2467260236272e-116,2.9034195287851225e-114,,,
380701,,521.9324223511326,1.6073827589700568e-115,1.091759583739662e-113,,,
432795,,521.8043707212904,1.7138722354223719e-115,1.1565298876954084e-113,,,
320536,,521.6749733896835,1.8286490610406935e-115,1.2260207124087024e-113,,,
195401,,519.7718888818025,4.744282111109532e-115,3.160421775554504e-113,,,
4134121,,517.3238865012148,1.6172184236484115e-114,1.0704543858951779e-112,,,
4320944,,516.5639626545034,2.3664756330346036e-114,1.5564819480060506e-112,,,
4101747,,510.3269909140632,5.383576009244705e-113,3.5186240181176715e-111,,,
192671,,509.1551006644211,9.683689676439468e-113,6.289556444847435e-111,,,
437827,,506.0429830513216,4.6042062268846595e-112,2.971857832905924e-110,,,
432738,,505.9224500094325,4.890797829203143e-112,3.1373562371036456e-110,,,
42537729,,494.2990597082069,1.6534609476113528e-109,1.054157433593692e-107,,,
81175,,493.0687775850271,3.062564760607423e-109,1.940620304404411e-107,,,
443587,,492.08751459435143,5.007196921888895e-109,3.15362366134966e-107,,,
4228361,,489.6589693928331,1.69050532974004e-108,1.0582970714854516e-106,,,
4166902,,487.05961982501174,6.217406171672024e-108,3.8689392177254896e-106,,,
4115171,,484.2899836,2.4903556650624985e-107,1.5404628613886597e-105,,,
438398,,482.83109506181256,5.172582698381963e-107,3.1806792545316785e-105,,,
37119138,,482.3476253209048,6.59034597070525e-107,4.028639725151115e-105,,,
377889,,481.3012536456116,1.1132547964344774e-106,6.7654642365772454e-105,,,
314666,,480.8450550576592,1.3991423804023327e-106,8.453423033221534e-105,,,
4079750,,479.2448985744163,3.1192653443554124e-106,1.8737228588752283e-104,,,
440320,,478.17896960079463,5.321050368562071e-106,3.17795146149983e-104,,,
432436,,474.2002639247254,3.906331797259924e-105,2.3196914306928644e-103,,,
432588,,465.77956471902496,2.6556756076673857e-103,1.56805573379997e-101,,,
440383,,461.3759447988255,2.4124753091191227e-102,1.4164092323370578e-100,,,
4117695,,458.4559572207238,1.042084306984005e-101,6.083898942796505e-100,,,
437390,,457.81052891014355,1.4399931740028684e-101,8.360005063820004e-100,,,
319034,,457.21535347028754,1.9403603962064988e-101,1.1202347354098853e-99,,,
77079,,457.08640042260146,2.069880094900704e-101,1.1884085053153656e-99,,,
376208,,456.40087591143833,2.918296726569335e-101,1.6663153616762929e-99,,,
42538119,,453.0784462098466,1.5422881509302293e-100,8.758174024298875e-99,,,
438567,,449.7223277756331,8.289813903953783e-100,4.6819427222765066e-98,,,
40304526,,447.0363875,3.1848160632931364e-99,1.7890058664725553e-97,,,
46271075,,443.09609739358575,2.2941478691897504e-98,1.2817626159473056e-96,,,
40483287,,442.6463070240509,2.8741650206257657e-98,1.597236518414062e-96,,,
40480002,,442.33091506955765,3.3662958079885873e-98,1.8607737253519894e-96,,,
78619,,441.90228343506715,4.172900557821469e-98,2.2944329416338995e-96,,,
4228802,,435.8055089636525,8.858066998088355e-97,4.844896433901799e-95,,,
4179823,,430.6519693507473,1.1721608662819317e-95,6.377537027435515e-94,,,
